ITEM	DYN_ATTR_DESC
5615794	Elegant Gems
5615798	Vintage Holiday
5615799	Vintage Holiday
5615802	Winter Shimmer
5615804	Vintage Holiday
5615805	Winter Shimmer
5615807	Winter Shimmer
5615816	Winter Shimmer
5615821	Winter Shimmer
5615826	Winter Shimmer
5615828	Winter Shimmer
5615833	Elegant Gems
5615834	Elegant Gems
5615838	Elegant Gems
5615839	Winter Shimmer
5615840	Winter Shimmer
5615841	Elegant Gems
5615846	Vintage Holiday
5615848	Vintage Holiday
5615849	Vintage Holiday
5615850	Vintage Holiday
5615853	Winter Shimmer
5615856	Winter Shimmer
5615857	Winter Shimmer
5615860	Winter Shimmer
5615861	Elegant Gems
5615864	Winter Shimmer
5615865	Elegant Gems
5615866	Elegant Gems
5615867	Winter Shimmer
5615868	Vintage Holiday
5615869	Winter Shimmer
5615870	Winter Shimmer
5615871	Winter Shimmer
5615873	Winter Shimmer
5615874	Winter Shimmer
5615878	Winter Shimmer
5615882	Winter Shimmer
5615883	Elegant Gems
5615886	Winter Shimmer
5615887	Elegant Gems
5615888	Winter Shimmer
5615889	Vintage Holiday
5615892	Elegant Gems
5615893	Vintage Holiday
5615895	Winter Shimmer
5615896	Winter Shimmer
5615897	Vintage Holiday
5615898	Winter Shimmer
5615951	Winter Shimmer
5616011	Winter Shimmer
5616044	Winter Shimmer
5616160	Vintage Holiday
5616161	Vintage Holiday
5616162	Vintage Holiday
5616168	Elegant Gems
5616169	Winter Shimmer
5616183	Vintage Holiday
5616207	Winter Shimmer
5616208	Elegant Gems
5616226	Winter Shimmer
5616230	Vintage Holiday
5616237	Winter Shimmer
5616242	Elegant Gems
5616243	Winter Shimmer
5616244	Winter Shimmer
5616248	Winter Shimmer
5616250	Vintage Holiday
5616555	Elegant Gems
5616610	Vintage Holiday
5616619	Vintage Holiday
5616621	Vintage Holiday
5616644	Winter Shimmer
5617309	Winter Shimmer
5618267	Winter Shimmer
5620171	Winter Shimmer
5620172	Winter Shimmer
5620521	Vintage Holiday
5620525	Winter Shimmer
5620912	Winter Shimmer
5620923	Elegant Gems
5620925	Elegant Gems
5620927	Vintage Holiday
5620968	Shabby Elegance
5620968	Winter Shimmer
5620979	Vintage Holiday
5620981	Elegant Gems
5620989	Vintage Holiday
5621000	Winter Shimmer
5621016	Winter Shimmer
5621025	Winter Shimmer
5621033	Winter Shimmer
5621033	Shabby Elegance
5621034	Vintage Holiday
5621060	Vintage Holiday
5621068	Winter Shimmer
5621072	Elegant Gems
5621075	Winter Shimmer
5621079	Vintage Holiday
5621094	Winter Shimmer
5621095	Vintage Holiday
5621097	Vintage Holiday
5621105	Winter Shimmer
5621109	Vintage Holiday
5621112	Elegant Gems
5621119	Winter Shimmer
5621121	Elegant Gems
5621134	Winter Shimmer
5621143	Winter Shimmer
5621144	Vintage Holiday
5621154	Winter Shimmer
5621157	Winter Shimmer
5621161	Winter Shimmer
5621166	Vintage Holiday
5621167	Vintage Holiday
5621172	Vintage Holiday
5621181	Winter Shimmer
5621182	Vintage Holiday
5621183	Vintage Holiday
5621188	Vintage Holiday
5621223	Elegant Gems
5621224	Elegant Gems
5621228	Winter Shimmer
5621238	Winter Shimmer
5621241	Winter Shimmer
5621243	Winter Shimmer
5621256	Winter Shimmer
5621314	Vintage Holiday
5621315	Vintage Holiday
5621401	Winter Shimmer
5621430	Elegant Gems
5621431	Vintage Holiday
5621433	Winter Shimmer
5621436	Winter Shimmer
5621438	Winter Shimmer
5621441	Winter Shimmer
5621453	Vintage Holiday
5621468	Vintage Holiday
5621470	Vintage Holiday
5621505	Vintage Holiday
5621509	Vintage Holiday
5621514	Winter Shimmer
5621517	Winter Shimmer
5621518	Winter Shimmer
5621521	Winter Shimmer
5621523	Winter Shimmer
5621550	Vintage Holiday
5621551	Vintage Holiday
5621562	Elegant Gems
5621567	Winter Shimmer
5621569	Elegant Gems
5621574	Vintage Holiday
5621581	Vintage Holiday
5621582	Vintage Holiday
5621583	Winter Shimmer
5621587	Winter Shimmer
5621635	Winter Shimmer
5621643	Elegant Gems
5621653	Vintage Holiday
5621663	Vintage Holiday
5621672	Vintage Holiday
5621683	Winter Shimmer
5621686	Vintage Holiday
5622071	Vintage Holiday
5622086	Winter Shimmer
5622413	Vintage Holiday
5622414	Vintage Holiday
5622428	Vintage Holiday
5622429	Vintage Holiday
5622434	Winter Shimmer
5622435	Vintage Holiday
5623732	Vintage Holiday
5623810	Vintage Holiday
5623812	Vintage Holiday
5627044	Vintage Holiday
5650000	Winter Shimmer
5650026	Elegant Gems
5650027	Winter Shimmer
5650028	Elegant Gems
5650029	Winter Shimmer
5650030	Winter Shimmer
5650031	Elegant Gems
5650033	Vintage Holiday
5650034	Vintage Holiday
5650035	Vintage Holiday
5650037	Vintage Holiday
5650056	Vintage Holiday
5650120	Winter Shimmer
5650121	Winter Shimmer
5650122	Vintage Holiday
5650123	Elegant Gems
5650628	Winter Shimmer
5650646	Elegant Gems
5650647	Winter Shimmer
5650652	Winter Shimmer
5650710	Vintage Holiday
5656077	Elegant Gems
5656099	Vintage Holiday
5656612	Vintage Holiday
5656637	Vintage Holiday
5656642	Winter Shimmer
5675008	Vintage Holiday
5675050	Vintage Holiday
5675504	Vintage Holiday
5675518	Winter Shimmer
6335162	Summer Solitude
6346220	Shabby Elegance
6346221	Shabby Elegance
6346223	Shabby Elegance
6411039	Tried & True
6411047	Tried & True
6411049	Sleek & Urban
6411054	Summer Solitude
6411063	Patio Oasis
6411075	Patio Oasis
6411189	Tried & True
6411190	Sleek & Urban
6411193	Shabby Elegance
6411196	Sleek & Urban
6411202	Patio Oasis
6411203	Tried & True
6411230	Tried & True
6411231	Tried & True
6411232	Patio Oasis
6411235	Tried & True
6411236	Tried & True
6411238	Shabby Elegance
6411241	Tried & True
6411243	Summer Solitude
6411244	Tried & True
6411245	Tried & True
6411247	Summer Solitude
6411255	Sleek & Urban
6411367	Summer Solitude
6411433	Summer Solitude
6411434	Summer Solitude
6411435	Patio Oasis
6411525	Sleek & Urban
6411695	Patio Oasis
6411700	Patio Oasis
6411739	Tried & True
6411747	Tried & True
6411755	Patio Oasis
6411756	Patio Oasis
6411757	Patio Oasis
6411758	Patio Oasis
6411759	Patio Oasis
6411761	Tried & True
6411764	Tried & True
6411766	Tried & True
6411820	Tried & True
6411822	Tried & True
6411831	Summer Solitude
6411832	Summer Solitude
6411833	Sleek & Urban
6411834	Sleek & Urban
6411835	Shabby Elegance
6411836	Patio Oasis
6411837	Patio Oasis
6412478	Tried & True
6414456	Sleek & Urban
6414461	Shabby Elegance
6414467	Shabby Elegance
6414468	Sleek & Urban
6414470	Summer Solitude
6414505	Sleek & Urban
6414508	Summer Solitude
6414929	Patio Oasis
6414972	Tried & True
6414975	Tried & True
6415044	Tried & True
6415048	Patio Oasis
6415064	Patio Oasis
6415065	Patio Oasis
6415066	Shabby Elegance
6415067	Summer Solitude
6415069	Tried & True
6415071	Summer Solitude
6415072	Patio Oasis
6415073	Patio Oasis
6415074	Sleek & Urban
6415075	Sleek & Urban
6415076	Summer Solitude
6415077	Tried & True
6415078	Shabby Elegance
6415093	Summer Solitude
6415094	Sleek & Urban
6415096	Summer Solitude
6415098	Tried & True
6415101	Tried & True
6415172	Shabby Elegance
6415336	Shabby Elegance
6415348	Tried & True
6415352	Sleek & Urban
6415353	Tried & True
6415354	Sleek & Urban
6415360	Patio Oasis
6415363	Shabby Elegance
6415366	Tried & True
6415466	Patio Oasis
6415473	Tried & True
6415474	Summer Solitude
6415475	Patio Oasis
6415476	Summer Solitude
6415477	Summer Solitude
6415478	Tried & True
6415479	Shabby Elegance
6415488	Patio Oasis
6415491	Patio Oasis
6415492	Sleek & Urban
6415493	Tried & True
6415495	Summer Solitude
6415496	Tried & True
6415746	Patio Oasis
6415749	Summer Solitude
6415753	Tried & True
6415757	Patio Oasis
6415758	Patio Oasis
6415759	Patio Oasis
6415762	Patio Oasis
6415763	Tried & True
6415765	Summer Solitude
6415767	Shabby Elegance
6415791	Tried & True
6415823	Summer Solitude
6415824	Summer Solitude
6415825	Summer Solitude
6415826	Summer Solitude
6415945	Sleek & Urban
6415951	Sleek & Urban
6416147	Tried & True
6416735	Patio Oasis
6416747	Patio Oasis
6416749	Patio Oasis
6416752	Summer Solitude
6416753	Shabby Elegance
6416763	Tried & True
6416767	Tried & True
6416768	Sleek & Urban
6416778	Sleek & Urban
6416787	Tried & True
6417050	Tried & True
6417079	Patio Oasis
6417096	Tried & True
6417105	Sleek & Urban
6417150	Summer Solitude
6433100	Tried & True
6433101	Tried & True
6433117	Summer Solitude
6435689	Sleek & Urban
6435704	Summer Solitude
6435714	Summer Solitude
6435715	Tried & True
6435758	Summer Solitude
6435759	Sleek & Urban
6435762	Sleek & Urban
6435763	Sleek & Urban
6435764	Sleek & Urban
6435765	Sleek & Urban
6435767	Tried & True
6435768	Tried & True
6435770	Shabby Elegance
6435771	Shabby Elegance
6435772	Shabby Elegance
6435773	Shabby Elegance
6435783	Tried & True
6435784	Sleek & Urban
6436220	Shabby Elegance
6437258	Patio Oasis
6437259	Patio Oasis
6450637	Sleek & Urban
8330028	Winter Shimmer
8330036	Winter Shimmer
8345661	Summer Solitude
8345662	Sleek & Urban
8345663	Tried & True
8345664	Patio Oasis
8345670	Summer Solitude
8345671	Sleek & Urban
8345672	Tried & True
8345673	Patio Oasis
8345674	Shabby Elegance
8348416	Winter Shimmer
